[40888:14728:0518/195649.334:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[40888:36196:0518/195649.394:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[40888:14728:0518/195649.420:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[7192:33028:0518/195653.648:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-B0E3840270CB79D6FB01190CE4CE9CF0 will be ignored
[19976:392:0518/202702.869:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 7-C25309A2FEC711D36458163E4A31A182 will be ignored
[52520:52656:0518/202847.913:WARNING:angle_platform_impl.cc(49)] HLSLCompiler.cpp:250 (rx::HLSLCompiler::compileToBinary): 
C:\fakepath(103,1-6): warning X4000: use of potentially uninitialized variable (dyn_index_vec4_float4_int)

[52520:19928:0518/202848.062:WARNING:angle_platform_impl.cc(49)] HLSLCompiler.cpp:250 (rx::HLSLCompiler::compileToBinary): 
C:\fakepath(136,1): warning X4000: use of potentially uninitialized variable (f_i_int_int_int2)
C:\fakepath(138,1): warning X4000: use of potentially uninitialized variable (f_i_int_int_int2)
C:\fakepath(174,1): warning X4000: use of potentially uninitialized variable (f_u_int_int_int)

[52520:52956:0518/202848.594:WARNING:angle_platform_impl.cc(49)] HLSLCompiler.cpp:250 (rx::HLSLCompiler::compileToBinary): 
C:\fakepath(166,1): warning X4000: use of potentially uninitialized variable (f_renderMipMapLevel_int)

1069  ---O                                                                      (3 = 0.5%) {25.6%}
1070  ---O                                                                      (3 = 0.5%) {26.1%}
1071  ... 
1075  ---O                                                                      (3 = 0.5%) {26.5%}
1076  ---O                                                                      (3 = 0.5%) {27.0%}
1077  ... 
1124  -O                                                                        (1 = 0.2%) {27.5%}
1125  O                                                                         (0 = 0.0%) {27.6%}
1126  --O                                                                       (2 = 0.3%) {27.6%}
1127  ... 
1153  --O                                                                       (2 = 0.3%) {27.9%}
1154  ... 
1302  ---O                                                                      (3 = 0.5%) {28.2%}
1303  ... 
1321  --O                                                                       (2 = 0.3%) {28.7%}
1322  ... 
1347  ---O                                                                      (3 = 0.5%) {29.0%}
1348  ... 
1351  ---O                                                                      (3 = 0.5%) {29.4%}
1352  ... 
1354  -O                                                                        (1 = 0.2%) {29.9%}
1355  ... 
1368  ---O                                                                      (3 = 0.5%) {30.0%}
1369  ... 
1417  ---O                                                                      (3 = 0.5%) {30.5%}
